,liczba punktów w otoczce,Graham,Jarvis
1000,18,0.0077435970306396484,0.013071775436401367
2500,20,0.0224611759185791,0.04282236099243164
5000,24,0.04873776435852051,0.0887153148651123
10000,28,0.10194230079650879,0.20545434951782227
25000,29,0.28621387481689453,0.5685479640960693
40000,34,0.48285913467407227,1.0296351909637451
55000,31,0.6794371604919434,1.2934906482696533
70000,35,0.9686439037322998,1.8477377891540527
85000,29,1.2413780689239502,2.08903431892395
100000,28,1.364079475402832,2.359553098678589
