,liczba punktów w otoczce,Graham,Jarvis
100,100,0.0006773471832275391,0.007318973541259766
500,500,0.0032739639282226562,0.21137762069702148
1000,1000,0.007155656814575195,0.759127140045166
2000,2000,0.01805424690246582,3.1410231590270996
3000,3000,0.024651765823364258,6.596678972244263
5000,5000,0.04356789588928223,18.44304394721985
7000,7000,0.06456613540649414,35.19373178482056
9000,9000,0.0856316089630127,60.0701220035553
11000,11000,0.10802221298217773,88.0186116695404
13000,13000,0.12965035438537598,126.93995499610901
