,liczba punktów w otoczce,Graham,Jarvis
1000,8,0.007666349411010742,0.006584882736206055
2500,8,0.01833796501159668,0.012482881546020508
5000,8,0.04036974906921387,0.02580738067626953
10000,8,0.08731484413146973,0.049956560134887695
25000,8,0.24259305000305176,0.12624549865722656
40000,8,0.42087364196777344,0.20357966423034668
55000,8,0.5962564945220947,0.27640318870544434
70000,8,0.8586311340332031,0.35283446311950684
85000,8,1.0768091678619385,0.4374079704284668
100000,8,1.3022444248199463,0.5070939064025879
