,liczba punktów w otoczce,Graham,Jarvis
1000,4,0.008865594863891602,0.0030736923217773438
2500,4,0.025434255599975586,0.007105827331542969
5000,4,0.056136131286621094,0.014371156692504883
10000,4,0.1225125789642334,0.028282642364501953
25000,4,0.34331655502319336,0.07186508178710938
40000,4,0.5904562473297119,0.11586356163024902
55000,4,0.8309826850891113,0.15927839279174805
70000,4,1.0929601192474365,0.20381426811218262
85000,4,1.3514518737792969,0.24675917625427246
100000,4,1.620321273803711,0.285233736038208
