,Graham wyznacznik,Graham kąty,Jarvis
1000,0.0029850006103515625,0.0019953250885009766,0.00442194938659668
2500,0.004942417144775391,0.005408048629760742,0.008491992950439453
5000,0.009332418441772461,0.009964704513549805,0.0165860652923584
10000,0.018368959426879883,0.020505428314208984,0.03341341018676758
30000,0.061177968978881836,0.06521821022033691,0.10680150985717773
50000,0.10054969787597656,0.10987186431884766,0.18268346786499023
70000,0.1475527286529541,0.1593794822692871,0.2783474922180176
80000,0.18331623077392578,0.182908296585083,0.3033578395843506
90000,0.19112586975097656,0.20343303680419922,0.33539414405822754
100000,0.21508073806762695,0.22872495651245117,0.3715531826019287
